"Genename"	"padj"	"pvalue"	"lfcSE"	"stat"	"log2FoldChange"	"baseMean"
"ELF3"	0	0	0.0484050675143553	-39.0717692153632	-1.89127162677497	4685.37055162332
"LBH"	0	0	0.044448496453869	41.7841572222631	1.85724296412166	7779.32284374756
"MARCHF4"	0	0	0.0690787254048561	46.6560216462878	3.22293850778694	2192.81730716924
"TNS1"	0	0	0.0692331339989849	46.6881236952194	3.23236512395231	2183.25379127558
"F2RL1"	0	0	0.0423865226565361	46.1381319799251	1.95563497649735	11797.2676904177
"TGFBI"	0	0	0.0361861976973885	44.198162202268	1.59936343531251	51441.3262003822
"ADAM19"	0	0	0.0750076595904313	46.6747739055348	3.5009655525667	3039.68324860836
"SERPINE1"	0	0	0.0375910680507351	78.0893737037779	2.935462960938	47037.3816170415
"MUC5AC"	0	0	0.0515766306357646	-47.4999516462973	-2.44988746127775	13244.50706778
"EHF"	0	0	0.064870215653145	-43.7013667090993	-2.83491708275645	2016.42703558912
"PHLDB1"	0	0	0.0569376659894355	38.8342625365731	2.21113226925345	2278.59011946561
"NTS"	0	0	0.0562282354476815	-43.5140131233979	-2.44671617517592	5103.4451152474
"ULK1"	0	0	0.049403034850067	41.3181874546337	2.04124385476287	9390.12565488297
"COL4A1"	0	0	0.0527889882555428	40.0719479173702	2.11535758798677	4069.20133194506
"FRMD6"	0	0	0.0597449355542888	48.9515863672332	2.92460937279055	2749.58179691681
"LINC02086"	0	0	0.0728904402766411	45.0568569796968	3.28421414273175	1583.72810166983
"COL1A1"	0	0	0.0638347074737697	53.6816327043163	3.42675132039438	3186.00655885765
"ARHGEF18"	0	0	0.0538648912612382	39.2256085298524	2.1128831381164	6362.59225781079
"ANGPTL4"	0	0	0.0810343415389365	62.1181767422544	5.03370554990787	3319.59389774167
"JUNB"	0	0	0.0645900978896951	42.1137532707402	2.72013144625958	8539.20936316226
"IL11"	0	0	0.0579167836608836	60.5125805800049	3.50469403821393	4702.22895604928
"PMEPA1"	0	0	0.0440296273081372	59.8671920633819	2.63593015453537	26916.6940594958
"PCDH1"	1.03302550531659e-316	1.29741638597911e-319	0.0904319988107002	38.2202684875272	3.4563352744087	1079.63687679191
"GREM1"	4.38652841800122e-315	5.74874034743749e-318	0.0755035342484981	38.1210134958163	2.87827124806882	1435.73850967734
"TGFBR1"	2.0645570573542e-313	2.81843097435218e-316	0.0549323135006288	38.0188412548988	2.08846290674474	6062.11573516946
"PLEK2"	8.04171120505609e-313	1.14172714099746e-315	0.0676300499416983	37.9820527370858	2.56872812349733	1711.83812971989
"VGLL3"	1.56587099169711e-302	2.30866143044951e-305	0.0625995984797767	37.3525067067703	2.33825192205699	3466.92132514433
"PGM2L1"	2.70917403794562e-292	4.14224174425148e-295	0.0588945638514065	36.7154364326811	2.16233961531679	5516.53654520959
"TNS4"	7.75588562137201e-281	1.22820227717899e-283	0.045965507128166	35.9893385631495	1.65426819826243	19496.3022515186
"NIPAL4"	7.52177163295336e-271	1.23220198213619e-273	0.0859176078478914	35.3441707739242	3.03668660426293	962.783296733685
"NRP2"	1.5042220436921e-268	2.54632683637062e-271	0.053630824960716	35.1931374024234	1.8874369918478	4898.57132986859
