"GeneID"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"gene_name"	"gene_chr"	"gene_start"	"gene_end"	"gene_strand"	"gene_length"	"gene_biotype"	"gene_description"
"ENSG00000000003"	574.47594817036	-0.564083909103408	0.0925396871037289	-6.09558911163293	1.09035151582399e-09	4.17186456396883e-09	"TSPAN6"	"X"	100627109	100639991	"-"	4535	"protein_coding"	"tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]"
"ENSG00000000419"	772.817146102847	0.24695394539807	0.0852043157178782	2.89837367177227	0.00375103386499332	0.00706055364970723	"DPM1"	"20"	50934867	50958555	"-"	1207	"protein_coding"	"dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]"
"ENSG00000000457"	275.473239972967	0.743270427236624	0.135007270441921	5.50541037385372	3.68309301841533e-08	1.2409264782151e-07	"SCYL3"	"1"	169849631	169894267	"-"	6883	"protein_coding"	"SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]"
"ENSG00000000460"	440.992679303538	-0.935229085258038	0.104473424372117	-8.95183718614318	3.49614351612084e-19	2.34458028997397e-18	"C1orf112"	"1"	169662007	169854080	"+"	5967	"protein_coding"	"chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]"
"ENSG00000000971"	9.06777377282465	2.97953980515477	0.836460469138344	3.56208083356774	0.000367927055677221	0.000806065198595609	"CFH"	"1"	196651878	196747504	"+"	8145	"protein_coding"	"complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]"
"ENSG00000001036"	2479.71206627389	-0.434362106508595	0.0587524217664615	-7.39309280279828	1.43452279661525e-13	7.16981764234212e-13	"FUCA2"	"6"	143494811	143511690	"-"	2793	"protein_coding"	"alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]"
"ENSG00000001084"	436.882649373098	-0.191388225912149	0.107704010241957	-1.77698328485815	0.0755709900320529	0.11161521799665	"GCLC"	"6"	53497341	53616970	"-"	8646	"protein_coding"	"glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]"
"ENSG00000001167"	1383.42127015446	0.272608723746504	0.0699309721471155	3.89825445545087	9.68885776226372e-05	0.000229312904330254	"NFYA"	"6"	41072945	41099976	"+"	3811	"protein_coding"	"nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]"
"ENSG00000001460"	351.739620502897	0.498311807832805	0.11410505706775	4.36713166478617	1.25888845736604e-05	3.31622260755465e-05	"STPG1"	"1"	24356999	24416934	"-"	8511	"protein_coding"	"sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]"
"ENSG00000001461"	927.037825127627	-0.417189157005121	0.0777023292509051	-5.36906886868209	7.91441949467509e-08	2.58120478070981e-07	"NIPAL3"	"1"	24415794	24472976	"+"	9404	"protein_coding"	"NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]"
"ENSG00000001497"	1646.29299291345	-0.0752370539469812	0.064685441337883	-1.1631219079728	0.244780044626652	0.31318165390356	"LAS1L"	"X"	65512582	65534775	"-"	5589	"protein_coding"	"LAS1 like, ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]"
"ENSG00000001561"	195.108888796299	-0.774604554657228	0.160164536084493	-4.83630504975578	1.32274876875634e-06	3.85912517704295e-06	"ENPP4"	"6"	46129993	46146699	"+"	4651	"protein_coding"	"ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]"
"ENSG00000001617"	55.7904367925037	1.11129345585227	0.274912366202855	4.04235528289135	5.29169720959705e-05	0.000129505997251736	"SEMA3F"	"3"	50155045	50189075	"+"	4826	"protein_coding"	"semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]"
"ENSG00000001629"	1962.17204174926	-0.211535899703649	0.071988962629719	-2.93844906186107	0.00329858857732325	0.00625792165168835	"ANKIB1"	"7"	92246234	92401384	"+"	7130	"protein_coding"	"ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]"
