"GeneID"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"gene_name"	"gene_chr"	"gene_start"	"gene_end"	"gene_strand"	"gene_length"	"gene_biotype"	"gene_description"
"ENSG00000049759"	7566.34420456059	1.86940795606485	0.047906555963867	39.0219651246654	0	0	"NEDD4L"	"18"	58044367	58401540	"+"	17455	"protein_coding"	"neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7728]"
"ENSG00000056558"	2736.70091997624	3.21174119183106	0.0628778537678308	51.0790524703665	0	0	"TRAF1"	"9"	120902393	120929173	"-"	6449	"protein_coding"	"TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]"
"ENSG00000058085"	5616.19770538646	2.41875973688182	0.0502798985459932	48.1058993122127	0	0	"LAMC2"	"1"	183186238	183244900	"+"	6543	"protein_coding"	"laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]"
"ENSG00000083857"	4204.97457248991	-2.61908094262936	0.0590183946375433	-44.3773667297159	0	0	"FAT1"	"4"	186587783	186726722	"-"	16177	"protein_coding"	"FAT atypical cadherin 1 [Source:HGNC Symbol;Acc:HGNC:3595]"
"ENSG00000087074"	9586.37357064239	2.23342180796674	0.0451274776836872	49.4913946580728	0	0	"PPP1R15A"	"19"	48872392	48876057	"+"	3093	"protein_coding"	"protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]"
"ENSG00000088387"	9033.62053311549	2.47149575692454	0.0524174292200352	47.1502664991414	0	0	"DOCK9"	"13"	98793429	99086625	"-"	14816	"protein_coding"	"dedicator of cytokinesis 9 [Source:HGNC Symbol;Acc:HGNC:14132]"
"ENSG00000101255"	2274.58437317834	2.78101664416779	0.0702630975198301	39.5800461740661	0	0	"TRIB3"	"20"	362835	397559	"+"	3434	"protein_coding"	"tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]"
"ENSG00000104368"	6906.44786847032	2.03223228462651	0.0515947229219612	39.38837480919	0	0	"PLAT"	"8"	42175233	42207724	"-"	6618	"protein_coding"	"plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]"
"ENSG00000105825"	12793.1429808199	2.06573777326444	0.0438350620168187	47.1252389804274	0	0	"TFPI2"	"7"	93885396	93890991	"-"	2682	"protein_coding"	"tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]"
"ENSG00000105835"	19742.6627053667	2.39041038405605	0.0489750369326096	48.8087510244309	0	0	"NAMPT"	"7"	106248285	106286326	"-"	9049	"protein_coding"	"nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]"
"ENSG00000112118"	4441.2996390462	-2.14974204343555	0.0541083097796616	-39.730349223431	0	0	"MCM3"	"6"	52264009	52284881	"-"	3650	"protein_coding"	"minichromosome maintenance complex component 3 [Source:HGNC Symbol;Acc:HGNC:6945]"
"ENSG00000112715"	8384.98505623993	2.42324570337479	0.0467088042684394	51.8798488064092	0	0	"VEGFA"	"6"	43770184	43786487	"+"	14431	"protein_coding"	"vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]"
"ENSG00000112984"	1351.80773599255	-3.43681769747129	0.0860221528700424	-39.9527050045289	0	0	"KIF20A"	"5"	138178719	138187715	"+"	3958	"protein_coding"	"kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]"
"ENSG00000124762"	2871.79298479854	2.89047137331497	0.0616188716054532	46.9088657095624	0	0	"CDKN1A"	"6"	36676460	36687339	"+"	3050	"protein_coding"	"cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]"
"ENSG00000125538"	2304.53295816351	3.77880597519428	0.0808335839779343	46.7479702029023	0	0	"IL1B"	"2"	112829751	112836903	"-"	3096	"protein_coding"	"interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]"
"ENSG00000125968"	2013.90338769045	-4.48755628475214	0.098473599606232	-45.5711612320114	0	0	"ID1"	"20"	31605283	31606515	"+"	1233	"protein_coding"	"inhibitor of DNA binding 1, HLH protein [Source:HGNC Symbol;Acc:HGNC:5360]"
"ENSG00000130508"	4870.44487738663	3.3649122136762	0.0651857243134362	51.6203854312717	0	0	"PXDN"	"2"	1631887	1744852	"-"	11257	"protein_coding"	"peroxidasin [Source:HGNC Symbol;Acc:HGNC:14966]"
"ENSG00000133026"	1617.49693873598	-3.20098465287705	0.0787689519247182	-40.6376443339797	0	0	"MYH10"	"17"	8474205	8630761	"-"	9011	"protein_coding"	"myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]"
"ENSG00000134339"	3104.08382183901	-3.53997938920247	0.0695555587746418	-50.8942700132984	0	0	"SAA2"	"11"	18239223	18248643	"-"	2227	"protein_coding"	"serum amyloid A2 [Source:HGNC Symbol;Acc:HGNC:10514]"
"ENSG00000137801"	49690.8048045801	-1.70075657782254	0.0432170291222646	-39.3538522282723	0	0	"THBS1"	"15"	39581079	39599466	"+"	9158	"protein_coding"	"thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]"
"ENSG00000138061"	9817.77806467189	2.04391577667326	0.0476082568818176	42.9319599276039	0	0	"CYP1B1"	"2"	38066973	38109902	"-"	6014	"protein_coding"	"cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597]"
"ENSG00000138166"	4330.9489457464	3.81658819272941	0.0603120061009985	63.2807369454459	0	0	"DUSP5"	"10"	110497838	110511544	"+"	2615	"protein_coding"	"dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]"
"ENSG00000156510"	3448.32119266399	2.96260412004873	0.0600885785978811	49.3039474252632	0	0	"HKDC1"	"10"	69220303	69267559	"+"	4259	"protein_coding"	"hexokinase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23302]"
"ENSG00000162892"	8594.19222688271	6.80568649464884	0.0838422311683808	81.1725356041748	0	0	"IL24"	"1"	206897443	206904139	"+"	1979	"protein_coding"	"interleukin 24 [Source:HGNC Symbol;Acc:HGNC:11346]"
"ENSG00000173432"	10023.3442732618	-2.69874888690185	0.0659456233734969	-40.9238513315268	0	0	"SAA1"	"11"	18266174	18269977	"+"	796	"protein_coding"	"serum amyloid A1 [Source:HGNC Symbol;Acc:HGNC:10513]"
"ENSG00000177469"	9550.7337888017	-1.97869558265208	0.0512114490015555	-38.6377581816123	0	0	"CAVIN1"	"17"	42402452	42423517	"-"	3828	"protein_coding"	"caveolae associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9688]"
"ENSG00000181634"	2375.47173933812	2.68065018210388	0.0634615853338742	42.2405171254525	0	0	"TNFSF15"	"9"	114784635	114806126	"-"	7889	"protein_coding"	"TNF superfamily member 15 [Source:HGNC Symbol;Acc:HGNC:11931]"
"ENSG00000185022"	3200.00511555937	2.38008928739393	0.0573668314649927	41.4889445104937	0	0	"MAFF"	"22"	38200767	38216511	"+"	5615	"protein_coding"	"MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]"
"ENSG00000188042"	2956.15482890115	2.48355948600551	0.0587354050046065	42.2838573397209	0	0	"ARL4C"	"2"	234493041	234497053	"-"	4013	"protein_coding"	"ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]"
"ENSG00000265972"	7807.68216039908	3.98267927640407	0.0539197820439658	73.8630447941466	0	0	"TXNIP"	"1"	145992435	145996600	"-"	3625	"protein_coding"	"thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]"
"ENSG00000116016"	5312.15222853014	1.94013009242788	0.0507162577206752	38.2545988135271	3.4881034596392e-320	1.73099950358777e-317	"EPAS1"	"2"	46293667	46386703	"+"	7302	"protein_coding"	"endothelial PAS domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3374]"
"ENSG00000198959"	21599.6511550843	-1.81420086015313	0.0474357135351137	-38.2454637013142	4.94757337745424e-320	2.3785456541783e-317	"TGM2"	"20"	38127387	38166578	"-"	8036	"protein_coding"	"transglutaminase 2 [Source:HGNC Symbol;Acc:HGNC:11778]"
"ENSG00000173402"	4970.78553568398	-1.91281608104445	0.0502131027515814	-38.0939630539801	1.61273105741758e-317	7.51825896764874e-315	"DAG1"	"3"	49468703	49535618	"+"	6923	"protein_coding"	"dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]"
"ENSG00000102804"	4124.71648866016	1.98500652212604	0.0523540439994091	37.9150562303924	1.45374161004645e-314	6.57775321440017e-312	"TSC22D1"	"13"	44432143	44577147	"-"	8586	"protein_coding"	"TSC22 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:16826]"
"ENSG00000136826"	1756.01869230093	2.55741963091939	0.0677441079462125	37.7511743596938	7.19551457439924e-312	3.16273703464451e-309	"KLF4"	"9"	107484852	107490482	"-"	3659	"protein_coding"	"Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]"
"ENSG00000125378"	2878.34926601844	-2.22711015484308	0.0593999812986256	-37.4934487545808	1.17775033557636e-307	5.03291976736299e-305	"BMP4"	"14"	53949736	53958761	"-"	3082	"protein_coding"	"bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:HGNC:1071]"
"ENSG00000131747"	8673.74328534435	-2.18449294444881	0.0587060918097123	-37.2106688949681	4.58704298878176e-303	1.90721809025455e-300	"TOP2A"	"17"	40388516	40417950	"-"	6437	"protein_coding"	"DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]"
"ENSG00000198380"	4651.09661737442	1.98992078072021	0.0534884938743558	37.202782067383	6.15269553612068e-303	2.49087021388633e-300	"GFPT1"	"2"	69319769	69387254	"-"	8866	"protein_coding"	"glutamine--fructose-6-phosphate transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4241]"
"ENSG00000136244"	4173.66871858567	1.97683556292925	0.0540233621338212	36.5922350044122	3.80086276596367e-293	1.49929417414321e-290	"IL6"	"7"	22725884	22732002	"+"	2069	"protein_coding"	"interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]"
"ENSG00000067082"	9524.42760238477	1.64609486027619	0.0450563909417242	36.5341037280425	3.18895798134211e-292	1.22647323962418e-289	"KLF6"	"10"	3775996	3785281	"-"	6139	"protein_coding"	"Kruppel like factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]"
"ENSG00000139289"	15582.9779015365	1.60681816312221	0.0440984517022659	36.4370652731929	1.10261477683204e-290	4.13722578702052e-288	"PHLDA1"	"12"	76025447	76033932	"-"	8069	"protein_coding"	"pleckstrin homology like domain family A member 1 [Source:HGNC Symbol;Acc:HGNC:8933]"
"ENSG00000163171"	6075.9913242867	1.89390424803571	0.0523326518656806	36.1897243980046	8.8331971646483e-287	3.23547393287975e-284	"CDC42EP3"	"2"	37641882	37738468	"-"	10406	"protein_coding"	"CDC42 effector protein 3 [Source:HGNC Symbol;Acc:HGNC:16943]"
"ENSG00000135842"	3531.27357848042	2.04782149966919	0.056874143033254	36.0061952664824	6.69168293032579e-284	2.394066283724e-281	"FAM129A"	"1"	184790724	184974550	"-"	8372	"protein_coding"	"family with sequence similarity 129 member A [Source:HGNC Symbol;Acc:HGNC:16784]"
"ENSG00000229644"	2042.71016537197	2.29865525791071	0.0638690976674248	35.9901007194453	1.19494552802188e-283	4.17796409161106e-281	"NAMPTP1"	"10"	36521721	36524234	"-"	2514	"processed_pseudogene"	"nicotinamide phosphoribosyltransferase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:17633]"
"ENSG00000151651"	4258.87358913117	2.61108529561609	0.0728726782482237	35.8307853969911	3.66359111647459e-281	1.25245968301878e-278	"ADAM8"	"10"	133262403	133276868	"-"	4780	"protein_coding"	"ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215]"
"ENSG00000196878"	16895.6347617242	1.75866138966382	0.0499037962390923	35.2410341938309	4.70720204082001e-272	1.57425209121685e-269	"LAMB3"	"1"	209614870	209652466	"-"	4688	"protein_coding"	"laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]"
"ENSG00000010292"	3083.4980569044	-2.18329856360002	0.0620127382597058	-35.2072594255794	1.54829341330981e-271	5.06786082348046e-269	"NCAPD2"	"12"	6493356	6531955	"+"	6487	"protein_coding"	"non-SMC condensin I complex subunit D2 [Source:HGNC Symbol;Acc:HGNC:24305]"
"ENSG00000141753"	20354.3081480977	-1.89990616620902	0.0540327760113648	-35.1621054192999	7.59252301826557e-271	2.43340362735411e-268	"IGFBP4"	"17"	40443461	40457731	"+"	2200	"protein_coding"	"insulin like growth factor binding protein 4 [Source:HGNC Symbol;Acc:HGNC:5473]"
"ENSG00000189060"	8761.22848306311	1.72027675415314	0.0490905047436538	35.0429632601309	4.99068977658994e-269	1.56687288822571e-266	"H1F0"	"22"	37805093	37807436	"+"	2344	"protein_coding"	"H1 histone family member 0 [Source:HGNC Symbol;Acc:HGNC:4714]"
"ENSG00000140105"	4251.47367858805	1.78340001493367	0.0513639666863902	34.7208389457627	3.81971878499277e-264	1.17525107576658e-261	"WARS"	"14"	100333788	100376805	"-"	6358	"protein_coding"	"tryptophanyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:12729]"
"ENSG00000128510"	1443.41541071744	-2.75262162014529	0.0792937647060856	-34.7142253914706	4.806519707064e-264	1.44987253281319e-261	"CPA4"	"7"	130293134	130324180	"+"	3958	"protein_coding"	"carboxypeptidase A4 [Source:HGNC Symbol;Acc:HGNC:15740]"
"ENSG00000142173"	3892.11896189395	2.3388434165518	0.0676644568785543	34.5653172203777	8.39167135876979e-262	2.48264369583297e-259	"COL6A2"	"21"	46098097	46132849	"+"	5386	"protein_coding"	"collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212]"
"ENSG00000119771"	1465.60834028814	2.8079714759304	0.0818250883540105	34.3167545848763	4.41434273773339e-258	1.28132544674133e-255	"KLHL29"	"2"	23385217	23708611	"+"	11071	"protein_coding"	"kelch like family member 29 [Source:HGNC Symbol;Acc:HGNC:29404]"
"ENSG00000163347"	1645.3581584132	2.35050427138597	0.0686968535722692	34.2156030321423	1.4172422279646e-256	4.03756563611249e-254	"CLDN1"	"3"	190305701	190322475	"-"	3663	"protein_coding"	"claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032]"
"ENSG00000090861"	6337.15008774323	1.63825874384151	0.0479031699476952	34.1993806595743	2.46974027935803e-256	6.90808808320797e-254	"AARS"	"16"	70252295	70289543	"-"	4498	"protein_coding"	"alanyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:20]"
"ENSG00000116584"	3751.66731829856	1.90026939017498	0.0557463669018001	34.0877710205294	1.11958517345462e-254	3.0756604122189e-252	"ARHGEF2"	"1"	155946851	156007070	"-"	9135	"protein_coding"	"Rho/Rac guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:682]"
"ENSG00000159399"	1846.14498245438	2.23122954138129	0.0664258991003151	33.5897529668621	2.36758162809416e-247	6.38997820466678e-245	"HK2"	"2"	74833981	74893359	"+"	6064	"protein_coding"	"hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]"
